time_dim_id,date_value,date_year,date_month,date_day,date_weekday,date_hour
340,2015-01-15 11:00:00,2015,1,15,4,11
341,2015-01-15 12:00:00,2015,1,15,4,12
342,2015-01-15 13:00:00,2015,1,15,4,13
343,2015-01-15 14:00:00,2015,1,15,4,14
344,2015-01-15 15:00:00,2015,1,15,4,15
345,2015-01-15 16:00:00,2015,1,15,4,16
346,2015-01-15 17:00:00,2015,1,15,4,17
347,2015-01-15 18:00:00,2015,1,15,4,18
348,2015-01-15 19:00:00,2015,1,15,4,19
349,2015-01-15 20:00:00,2015,1,15,4,20
350,2015-01-15 21:00:00,2015,1,15,4,21
351,2015-01-15 22:00:00,2015,1,15,4,22
352,2015-01-15 23:00:00,2015,1,15,4,23
353,2015-01-16 00:00:00,2015,1,16,5,0
354,2015-01-16 01:00:00,2015,1,16,5,1
355,2015-01-16 02:00:00,2015,1,16,5,2
356,2015-01-16 03:00:00,2015,1,16,5,3
357,2015-01-16 04:00:00,2015,1,16,5,4
358,2015-01-16 05:00:00,2015,1,16,5,5
359,2015-01-16 06:00:00,2015,1,16,5,6
360,2015-01-16 07:00:00,2015,1,16,5,7
361,2015-01-16 08:00:00,2015,1,16,5,8
362,2015-01-16 09:00:00,2015,1,16,5,9
363,2015-01-16 10:00:00,2015,1,16,5,10
364,2015-01-16 11:00:00,2015,1,16,5,11
365,2015-01-16 12:00:00,2015,1,16,5,12
366,2015-01-16 13:00:00,2015,1,16,5,13
367,2015-01-16 14:00:00,2015,1,16,5,14
368,2015-01-16 15:00:00,2015,1,16,5,15
369,2015-01-16 16:00:00,2015,1,16,5,16
370,2015-01-16 17:00:00,2015,1,16,5,17
371,2015-01-16 18:00:00,2015,1,16,5,18
372,2015-01-16 19:00:00,2015,1,16,5,19
373,2015-01-16 20:00:00,2015,1,16,5,20
374,2015-01-16 21:00:00,2015,1,16,5,21
375,2015-01-16 22:00:00,2015,1,16,5,22
376,2015-01-16 23:00:00,2015,1,16,5,23
377,2015-01-17 00:00:00,2015,1,17,6,0
